	ArticleNo	RawParagraph	Prediction
1837	24.0	ου)	Irrelevant
1838	25.0	"1. Καθήκοντα αξιωματικού υποστήριξης της εκπαίδευσης, ανατίθενται σε κατώτερο αξιωματικό (οιουδήποτε 
όπλ"	Org
1839	25.0	ου)	Irrelevant
1840	25.0	2. Χειρίζεται τα θέματα των πυρομαχικών εκπαίδευσης, καθώς και των εκπαιδευτικών βοηθημάτων και υλικών αρμοδιότητάς του.	Org
1841	25.0	"3. Εισηγείται τη διάθεση του πεδίου βολής σε άλλες 
μονάδες, όταν δεν χρησιμοποιείται για την εκπαίδευση 
των σπουδαστών."	Org
1842	25.0	"4. Μεριμνά για τον εφοδιασμό της σχολής με τους 
αναγκαιούντες χάρτες, αεροφωτογραφίες και λοιπά 
υλικά."	Org
1843	25.0	"5. Παρακολουθεί και επιβλέπει την πιστή εφαρμογή 
του προγράμματος ωρών υπηρεσίας και εκπαίδευσης."	Org
1844	25.0	"6. Οργανώνει και προπαρασκευάζει την εκτέλεση των 
εκπαιδευτικών ταξιδιών."	Org
1845	25.0	"7. Χειρίζεται όλα τα θέματα που αφορούν στους Ελληνοκυπρίους και αλλοδαπούς σπουδαστές και κοινών 
δραστηριοτήτων με αντίστοιχες σχολές ξένων χωρών."	Org
1846	25.0	"8. Διενεργεί την κατανομή των σπουδαστών σε κατηγορίες και ειδικότητες, (διοικητικοί−τεχνικοί) και επί 
μέρους στοιχεία όπλων σωμάτων, σύμφωνα με τις 
ισχύουσες διατάξεις."	Org
1847	25.0	"9. Κατά την εκτέλεση των καθηκόντων του, βοηθείται 
από υπαξιωματικό (οιουδήποτε όπλ"	Org
1848	25.0	ου)	Irrelevant
1849	26.0	"Διευθυντής
1. Καθήκοντα διευθυντή προσωπικού και διοικητικής 
μέριμνας ανατίθενται σε ανώτερο αξιωματικό (οιουδήποτε όπλ"	Irrelevant
1850	26.0	"ου), απόφοιτου των προβλεπόμενων ανώτερων 
στρατιωτικών σχολών για το βαθμό του."	Irrelevant
1851	26.0	"2. Διευθύνει, κατευθύνει και συντονίζει άμεσα, για την 
ορθή και έγκαιρη εκτέλεση των καθηκόντων τους, τα 
παρακάτω τμήματα της διεύθυνσης:"	Org
1852	26.0	α. Στρατιωτικού Προσωπικού.	Org
1853	26.0	β. Πολιτικού Προσωπικού.	Org
1854	26.0	γ. Θρησκευτικού.	Org
1855	26.0	δ. Υποστήριξης – Συντήρησης.	Org
1856	26.0	ε. Υγειονομικής Υποστήριξης.	Org
1857	26.0	στ. Προμηθειών.	Org
1858	26.0	"3. Είναι υπεύθυνος για όλα τα ζητήματα προσωπικού 
και διοικητικής μέριμνας της σχολής και ειδικότερα:"	Org
1859	26.0	"α. Μεριμνά για την τήρηση του ηθικού και του πνεύματος μονάδος της σχολής σε υψηλό επίπεδο, αυξάνοντας 
την παραγωγικότητα εργασίας και διατηρώντας ένα 
σωστό κλίμα, μειώνοντας στο ελάχιστο την δυσαρέσκεια και τα παράπονα, με τελικό σκοπό την εφαρμογή 
και υλοποίηση της χρηστής διοίκησης και αξιοποίησης 
του ανθρώπινου δυναμικού της σχολής, στο μέγιστο."	RespA
1860	26.0	"β. Προβάλει και υλοποιεί το ανθρώπινο πρόσωπο της 
διοίκησης και μεριμνά για την επίλυση των προβλημάτων που αντιμετωπίζει το προσωπικό, εντός των υπηρεσιακών δυνατοτήτων."	RespA
1861	26.0	"γ. Συντονίζει την επιτελική διαχείριση και προώθηση 
ιεραρχικά όλων των θεμάτων των μονίμων υπαλλήλων 
του υπουργείου εθνικής άμυνας που υπηρετούν στη 
ΣΜΥ και αναφέρονται στον Κώδικα Δημοσίων Πολιτικών 
Διοικητικών Υπαλλήλων και Υπαλλήλων Ν.Π.Δ.Δ., κατανέμοντας και τοποθετώντας αυτούς στο λόχο διοικήσεως 
και στο επιτελείο της σχολής (διευθύνσεις, γραφεία 
κ"	RespA
1862	26.0	"λπ), στις προβλεπόμενες από τον πίνακα οργάνωσης 
και υλικού θέσεις, ανάλογα με την ειδικότητά τους."	Irrelevant
1863	26.0	"δ. Προγραμματίζει έγκαιρα την εξεύρεση των απαιτουμένων πόρων, πιστώσεων, σύμφωνα με τις υποβαλλόμενες ανάγκες του λόχου διοικήσεως και τις κατευοποίος ενεργεί σύμφωνα με τις ισχύουσες διατάξεις, με 
αρμοδιότητες και ευθύνες που καθορίζονται από αυτές."	Org
1864	26.0	"5. Χειρίζεται όλα τα θέματα των προβλεπομένων βιβλιαρίων και εντύπων που απαιτούνται για τους σπουδαστές 
(ταυτότητες, βιβλιάρια μητρώων, βιβλιάρια υγείας κ"	Org
1865	26.0	"λπ), 
μέσω των διοικήσεων των ταγμάτων σπουδαστών."	Irrelevant
1866	26.0	6. Τηρεί τους φακέλους «γ» των αξιωματικών και μονίμων υπαξιωματικών της σχολής.	Org
1867	26.0	7. Καθορίζει την εικοσιτετράωρη υπηρεσία των οργάνων του επιτελείου της σχολής, σύμφωνα με τις ισχύουσες διατάξεις.	Org
1868	26.0	"8. Χειρίζεται τα θέματα προανακρίσεων και ενόρκων 
διοικητικών εξετάσεων (ΕΔΕ), σύμφωνα με τις ισχύουσες 
διατάξεις, τηρώντας σχετικό βιβλίο."	Org
1869	26.0	"9. Τηρεί φάκελο με όλη τη νομοθεσία που αφορά 
αντικείμενα της αρμοδιότητάς του."	Org
1870	26.0	"10. Χειρίζεται όλα τα θέματα που αφορούν κινήσεις και 
μεταβολές προσωπικού, ήτοι χορήγηση φύλλων πορείας 
σε στελέχη και οδοιπορικά έξοδα αυτών."	Org
1871	26.0	"11. Τηρεί την ημερήσια διαταγή των στελεχών της 
θύνσεις της διοίκησης της σχολής, συμβάλλοντας στη 
μεγιστοποίηση του επιδιωκόμενου σκοπού."	Org
1872	26.0	"ε. Επιβλέπει το χειρισμό και την προώθηση όλων των 
ζητημάτων αρμοδιότητας τετάρτου (4"	Org
1873	26.0	"ου) επιτελικού 
γραφείου – διεύθυνσης μηχανικού και λοιπών διευθύνσεων των σωμάτων του ΓΕΣ, καθώς και των σχηματισμών που υποστηρίζουν τη ΣΜΥ σε θέματα διοικητικής 
μέριμνας επισκευών και συντήρησης."	Irrelevant
1874	26.0	"στ. Ευθύνεται για τα θέματα που αφορούν στην υγειονομική υποστήριξη της σχολής, την εξασφάλιση της 
σωματικής και ψυχικής υγείας του προσωπικού, ενεργώντας σύμφωνα με τις ισχύουσες διατάξεις, βοηθούμενος 
από τον τμηματάρχη υγειονομικής υποστήριξης."	Org
1875	26.0	"4. Ενασκεί τη γενική εποπτεία της λέσχης αξιωματικών φρουράς Τρικάλων επί θεμάτων που αφορούν στην 
οργάνωση, λειτουργία και διοικητική μέριμνα."	Org
1876	26.0	5. Υπό το διευθυντή προσωπικού και διοικητικής μέριμνας υπάγεται και ο λόχος διοικήσεως της σχολής.	Org
1877	26.0	"6. Στο διευθυντή προσωπικού και διοικητικής μέριμνας ανατίθεται η αρμοδιότητα και δικαιοδοσία για την 
εποπτεία όλων των οικονομικών δραστηριοτήτων της 
σχολής, σύμφωνα με τις ισχύουσες διατάξεις."	Org
1878	26.0	"7. Άμεσο και κύριο όργανό του για τον σκοπό αυτό, 
είναι ο διοικητής και ο υποδιοικητής του λόχου διοικήσεως της ΣΜΥ, ο οποίος είναι ο επόπτης οικονομικών υπηρεσιών και προϊστάμενος εφοδιασμού διαχειρίσεων."	Org
1879	26.0	"8. Τα εκτελεστικά οικονομικά όργανα υπό την εποπτεία της 
οικονομικής εξουσίας του διευθυντή διοικητικής μέριμνας, 
είναι ο διοικητής του λόχου διοικήσεως, ο επόπτης οικονομικών υπηρεσιών και προϊστάμενος εφοδιασμού διαχειρίσεων, 
καθώς και οι επικεφαλής των παρακάτω διαχειρίσεων:"	Org
1880	26.0	α. Χρηματικού.	Org
1881	26.0	β. Υλικού.	Org
1882	26.0	γ. Τροφίμων Καυσίμων.	Org
1883	26.0	δ. Μισθοτροφοδοσίας.	Org
1884	26.0	ε. Κέντρου Ψυχαγωγίας Σχολής.	Org
1885	26.0	"9. Γενικά μελετά, εισηγείται και επιβλέπει την εκτέλεση κάθε μέτρου, το οποίο συμβάλει στη βελτίωση και 
ανύψωση του επιπέδου:"	Org
1886	26.0	"α. Της διοικητικής διαχείρισης, του ηθικού και της 
ψυχαγωγίας του προσωπικού της σχολής."	Org
1887	26.0	"β. Διοικητική μέριμνα της σχολής, καθώς και των 
συνθηκών διαβίωσης και εργασίας του προσωπικού 
γενικά."	Org
1888	27.0	"Τμήμα Στρατιωτικού Προσωπικού
Τμηματάρχης
1. Καθήκοντα τμηματάρχου στρατιωτικού προσωπικού, ανατίθενται σε ανώτερο αξιωματικό του σώματος 
δικαστικών γραμματέων, ο οποίος ενεργεί σύμφωνα με 
τις ισχύουσες διατάξεις, με αρμοδιότητες και ευθύνες 
που καθορίζονται από αυτές."	Org
1889	27.0	"2. Αν δεν έχει τοποθετηθεί αξιωματικός του σώματος 
δικαστικών γραμματέων στη σχολή, τα καθήκοντα της 
παραγράφου 1 ανατίθενται σε ανώτερο αξιωματικό (οιουδήποτε όπλου ή σώματ"	Org
1890	27.0	ος)	Irrelevant
1891	27.0	"3. Προΐσταται του αξιωματικού μεταβολών στελεχών, 
του αξιωματικού μέριμνας προσωπικού και του αξιωματικού στρατολογίας και είναι επόπτης στρατολογίας."	Org
1892	27.0	"Αξιωματικός Μεταβολών Στελεχών
4. Καθήκοντα αξιωματικού μεταβολών στελεχών, ανατίθενται σε κατώτερο αξιωματικό (οιουδήποτε όπλ"	RespA
1893	27.0	"ου), ο 
σχολής."	Irrelevant
1894	27.0	"12. Είναι δυνατόν να του ανατεθούν καθήκοντα εκπαιδευτή, ανάλογα με τις εκπαιδευτικές ανάγκες της 
σχολής."	Org
1895	27.0	"13. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από υπαξιωματικό (οιουδήποτε όπλ"	Org
1896	27.0	ου), ως γραφέα.	Irrelevant
1897	27.0	"Αξιωματικός Στρατολογίας
14. Καθήκοντα στρατολόγου, ανατίθενται σε κατώτερο αξιωματικό (οιουδήποτε όπλ"	Irrelevant
1898	27.0	"ου), ο οποίος χειρίζεται 
τα θέματα στρατολογίας, σύμφωνα με τις ισχύουσες 
διατάξεις."	RespA
1899	27.0	"15. Είναι υπεύθυνος έναντι του τμηματάρχου στρατιωτικού προσωπικού, για την αντιμετώπιση όλων των 
θεμάτων στρατολογίας των σπουδαστών της σχολής, 
από την κατάταξή τους μέχρι και την ονομασία τους 
σε μόνιμους υπαξιωματικούς."	Org
1900	27.0	"16. Είναι υπεύθυνος για τη διαχείριση όλων των ζητημάτων μεταβολών στρατολογίας και επιστράτευσης 
του στρατιωτικού προσωπικού, καθώς και μέριμνας όλου 
του προσωπικού της σχολής."	Org
1901	27.0	17. Τηρεί τα παρακάτω βιβλία έντυπα:	Org
1902	27.0	"α. Φάκελο αντιγράφων φύλλων μητρώου των στρατολογικών γραφείων, για τους κατ’ έτος εισαγόμενους 
στη σχολή."	Org
1903	27.0	"β. Βιβλίο μητρώου μεταβολών των σπουδαστών κατά 
τη διάρκεια της φοιτήσεώς των στη σχολή."	Org
1904	27.0	γ. Βιβλίο ταυτοτήτων μητρώου σπουδαστών.	Org
1905	27.0	δ. Βιβλίο απωλειών.	Org
1906	27.0	"18. Τηρεί εκτός από τα βιβλία πίνακες που καθορίζονται από τους κανονισμούς και διαταγές που ισχύουν 
και τα παρακάτω βιβλία−έντυπα, το περιεχόμενο των 
οποίων καθορίζεται με διαταγές της σχολής:"	Org
1907	27.0	α. Ονομαστικό πίνακα σπουδαστών κατά έτη και τμήματα.	Org
1908	27.0	β. Βιβλίο ποινών σε ηλεκτρονικούς υπολογιστές.	Org
1909	27.0	γ. Ημερήσια διαταγή σχολής.	Org
1910	27.0	δ. Ημερήσια διαταγή σπουδαστών.	Org
1911	27.0	ε. Βιβλίο γνωμοδοτήσεων του ανακριτικού συμβουλίου.	Org
1912	27.0	"Αξιωματικός Μέριμνας Προσωπικού
19. Καθήκοντα αξιωματικού μέριμνας προσωπικού, 
ανατίθενται σε κατώτερο αξιωματικό (οιουδήποτε όπλ"	RespA
1913	27.0	"ου), 
ο οποίος:"	Irrelevant
1914	27.0	"α. Προβάλει και υλοποιεί το ανθρώπινο πρόσωπο της 
διοίκησης και μεριμνά για την επίλυση προβλημάτων 
που αντιμετωπίζει το προσωπικό, ώστε αυτό να μπορεί 
απερίσπαστο να εκτελεί τα καθήκοντα του."	Org
1915	27.0	"β. Τηρεί το ηθικό και το πνεύμα μονάδος της σχολής 
σε υψηλό επίπεδο, αυξάνοντας την παραγωγικότητα 
εργασίας και διατηρώντας ένα σωστό κλίμα, μειώνοντας 
στο ελάχιστο τη δυσαρέσκεια και τα παράπονα, με τελικό σκοπό την εφαρμογή και υλοποίηση της χρηστής 
διοίκησης και τη μεγιστοποίηση της αξιοποίησης του 
ανθρώπινου δυναμικού της σχολής."	Org
1916	27.0	"γ. Προωθεί άμεσα στη διοίκηση και εισηγείται τα ενδεικνυόμενα μέτρα εντός των υπηρεσιακών δυνατοτήτων, για την επίλυση κάθε ζητήματος που ανακύπτει 
και αφορά στη μέριμνα του προσωπικού."	Org
1917	27.0	20. Για την εκπλήρωση της αποστολής του:	Org
1918	27.0	"α. Διενεργεί κατά καιρούς, έρευνα σε όλο το προσωπικό της σχολής, με τη χρήση ειδικού εντύπου ερωτηματολογίου, για την εξαγωγή χρήσιμων συμπερασμάτων 
επί των προβλημάτων που απασχολούν το προσωπικό 
και δυσχεραίνουν την ανάπτυξη αισθήματος ασφάλειας 
και μέριμνας υπέρ τους από την υπηρεσία."	RespA
1919	27.0	"β. Προγραμματίζει και οργανώνει περιοδικά ολιγοήμερα σεμινάρια επιμόρφωσης του κατώτερου προσωπικού 
πάνω σε θέματα της ειδικότητάς του και άλλα γενικότερου ενδιαφέροντος."	RespA
1920	27.0	"γ. Σχεδιάζει και εισηγείται κάθε μέτρο για την παροχή διευκολύνσεων στο προσωπικό και στις οικογένειές 
του, από τα διάφορα συνεργεία τμήματα διοικητικής 
μέριμνας πού λειτουργούν στη σχολή και οργανώνει 
κατά τη διάρκεια των εορτών των Χριστουγέννων και 
του Πάσχα, δράσεις κοινωνικής προσφοράς, για την ενίσχυση των πολύτεκνων οικογενειών του στρατιωτικού 
και πολιτικού προσωπικού."	RespA
1921	27.0	δ. Μεριμνά για:	RespA
1922	27.0	"(1) Tην εξεύρεση κατοικίας των νεοτοποθετημένων 
στη σχολή στελεχών και ασχολείται με τη διεκπεραίωση 
και προώθηση όλων των λοιπών θεμάτων που σχετίζονται με τις μεταθέσεις του προσωπικού."	Irrelevant
1923	27.0	"(2) Την εκπαίδευση των οπλιτών στις σύγχρονες τεχνολογίες και τη χρήση ηλεκτρονικών υπολογιστών και φροντίζει για την επίδοση σ΄ αυτούς ειδικής επιστολής (συστατικής) πριν από την απόλυσή τους, με σκοπό να τους 
βοηθήσει στην επαγγελματική τους αποκατάσταση."	Irrelevant
1924	27.0	"(3) Τη ψυχαγωγία του προσωπικού, προγραμματίζει 
και οργανώνει την συμμετοχή του στις παρακάτω εκδηλώσεις:"	Irrelevant
1925	27.0	(α) Ψυχαγωγικές εκδηλώσεις εντός και εκτός σχολής.	Irrelevant
1926	27.0	(β) Συμμετοχή σε εκδηλώσεις τρίτων.	Irrelevant
1927	27.0	(γ) Συμμετοχή σε ταξίδια – εκδρομές.	Irrelevant
1928	27.0	(δ) Αθλητικές εκδηλώσεις.	Irrelevant
1929	27.0	"(4) Την καταχώριση στα ατομικά έγγραφα των αξιωματικών – υπαξιωματικών των ηθικών αμοιβών που 
απονέμονται κατόπιν διαταγής του ΓΕΣ ή προϊστάμενων 
κλιμακίων και οργανώνει ειδικές τελετές για την απονομή αναλόγως του αριθμού των τιμωμένων."	Irrelevant
1930	27.0	"ε. Εκδίδει και διανέμει ειδικό ενημερωτικό φυλλάδιο, 
στο οποίο αναφέρονται όλα τα θέματα, αποφάσεις και 
μέτρα που λήφθηκαν από τη διοίκηση για τη μέριμνα 
του προσωπικού."	Org
1931	27.0	στ. Ασχολείται με:	Org
1932	27.0	"(1) Tην ενημέρωση και την υποβολή αναφορών των 
στελεχών στην αμέσως προϊστάμενη διοίκηση, καθώς 
και με τον έλεγχο της ακρίβειας των περιλαμβανομένων σ’ αυτών στοιχείων, για τα διάφορα παραθεριστικά 
κέντρα."	RespA
1933	27.0	"(2) Θέματα Αυτόνομου Οικοδομικού Οργανισμού Αξιωματικών (ΑΟΟΑ), Οικοδομικoύ Συνεταιρισμού Μονίμων 
Αξιωματικών Ελληνικού Στρατού (ΟΣΜΑΕΣ) και γενικά 
βοηθά τα στελέχη για την απόκτηση ιδιόκτητης κατοικίας μέσω οικοδομικών συνεταιρισμών, πιστωτικών 
ιδρυμάτων η άλλων φορέων."	RespA
1934	27.0	"ζ. Ευθύνεται για τη διάθεση της λέσχης αξιωματικών 
φρουράς Τρικάλων στο προσωπικό (στελέχη – μόνιμοι υπάλληλοι ΥΠΕΘΑ) και σε στρατιωτικές αρχές της 
φρουράς, για πραγματοποίηση εκδηλώσεων."	Org
1935	27.0	"21. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από υπαξιωματικό (οιουδήποτε όπλ"	Org
1936	27.0	ου), ως γραφέα.	Irrelevant
1937	28.0	"Τμήμα Πολιτικού Προσωπικού
Τμηματάρχης
1. Καθήκοντα τμηματάρχη πολιτικού προσωπικού, ανατίθενται σε μόνιμο υπάλληλο του ΥΠΕΘΑ βαθμού Δ΄ έως 
Α΄ πανεπιστημιακής εκπαίδευσης."	Irrelevant
1938	28.0	"2. Είναι δυνατόν σε περιπτώσεις που η θέση δεν καλύπτεται με μόνιμο υπάλληλο του ΥΠΕΘΑ από τους 
τοποθετημένους στη σχολή, τα καθήκοντα να ανατίθενται σε αξιωματικό."	Org
1939	28.0	"3. Είναι υπεύθυνος για την επιτελική διαχείριση και 
προώθηση ιεραρχικά όλων των θεμάτων των μονίμων 
υπαλλήλων του ΥΠΕΘΑ που υπηρετούν στη σχολή και 
αφορούν στα κεφάλαια που αναφέρονται στον ισχύοντα 
κώδικα καταστάσεως δημοσίων πολιτικών διοικητικών 
υπαλλήλων και υπαλλήλων Ν.Π.Δ.Δ.."	Org
1940	28.0	"4. Προΐσταται του τμήματος και χειρίζεται σε επιτελικό επίπεδο όλα τα θέματα των μονίμων υπαλλήλων 
του ΥΠΕΘΑ που υπηρετούν στη σχολή."	Org
1941	28.0	"5. Διεκπεραιώνει την υπηρεσιακή αλληλογραφία για 
όλα τα ζητήματα που αφορούν στο πολιτικό προσωπικό 
της σχολής, προωθώντας θέματα, αιτήσεις ή αποφάσεις 
υπηρεσιακών μεταβολών των υπαλλήλων."	Org
1942	28.0	"6. Τηρεί ειδικό φάκελο με όλες τις διαταγές και τους 
νόμους που διέπουν την υπηρεσιακή κατάσταση των 
μονίμων υπαλλήλων."	Org
1943	28.0	"7. Παρακολουθεί την εφαρμογή του ωραρίου εργασίας από τους μόνιμους υπάλληλους και ενημερώνεται 
για την πρόοδό τους στα καθήκοντα τα οποία έχουν 
αναλάβει."	Org
1944	28.0	"8. Κατανέμει και τοποθετεί τους μόνιμους υπάλληλους 
στο λόχο διοικήσεως και στο επιτελείο της σχολής 
(διευθύνσεις, γραφεία), στις προβλεπόμενες από τον 
πίνακα οργάνωσης και υλικού θέσεις, ανάλογα με την 
ειδικότητά τους."	Org
1945	28.0	"9. Προγραμματίζει την εκπαίδευση και επιμόρφωση 
των μονίμων υπαλλήλων σε συνεργασία με την διεύθυνση σπουδών, ώστε να βελτιώνονται οι γνώσεις τους, 
να αυξάνεται η απόδοσή τους και να δημιουργείται 
κλίμα ενδιαφέροντος και προθυμίας για την εκτέλεση 
των καθηκόντων τους, αυξάνοντας παράλληλα και την 
παραγωγικότητά τους."	Org
1946	28.0	"10. Καταβάλλει συνεχή προσπάθεια για βελτίωση των 
συνθηκών εργασίας και ασφάλειας, υποβάλλοντας προτάσεις στο τμήμα μέριμνας προσωπικού."	Org
1947	28.0	"11. Ενημερώνει του υπαλλήλους κατάλληλα για όλα τα 
θέματα μέριμνας προσωπικού, έτσι ώστε ο καθένας να 
απολαμβάνει τα ευεργετήματα του δημοσιοϋπαλληλικού 
κώδικα (άδειες κυήσεως και τοκετού, μειωμένο ωράριο 
εργασί"	Org
1948	28.0	ας)	Irrelevant
1949	28.0	"12. Καλεί τους μονίμους υπαλλήλους σε διάφορες τελετές, εορτές, ψυχαγωγικές εκδηλώσεις και ταξίδια της 
σχολής, σε συνεργασία με τις αντίστοιχες διευθύνσεις 
γραφεία."	Org
1950	28.0	"13. Έρχεται σε επαφή με τα εκλεγμένα συνδικαλιστικά 
τους όργανα, προκειμένου να τα ενημερώνει και να 
ενημερώνεται για θέματα που αφορούν το σύνολο των 
μονίμων υπαλλήλων."	Org
1951	28.0	"14. Ελέγχει την απόδοση των μονίμων υπαλλήλων 
παραλαμβάνοντας τις εκθέσεις αξιολόγησης από τους 
υπεύθυνους συντάκτες αξιολογητές και υποβάλλει αυτές στη διεύθυνση πολιτικού προσωπικού του ΓΕΣ. Τηρεί 
αντίγραφα των εκθέσεων στους βοηθητικούς φακέλους 
που τηρούνται στο τμήμα του."	Org
1952	28.0	"15. Χειρίζεται όλα τα θέματα που αφορούν κινήσεις 
και μεταβολές πολιτικού προσωπικού, ήτοι χορήγηση 
φύλλου πορείας, καθώς και οδοιπορικά έξοδα αυτών."	Org
1953	28.0	"16. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από ένα (1) μόνιμο υπάλληλο (διοικητικό), τεχνολογικής 
εκπαίδευσης."	Org
1954	29.0	"Τμήμα Θρησκευτικού
Στρατιωτικός Ιερέας Τμηματάρχης
1. Καθήκοντα στρατιωτικού Ιερέα –τμηματάρχου, ανατίθενται σε κατώτερο αξιωματικό του Θρησκευτικού, 
απόφοιτο θεολογικής σχολής πανεπιστημιακής εκπαίδευσης."	Org
1955	29.0	"2. Αποστολή του είναι να καλύπτει όλες τις ανάγκες 
για την θρησκευτική εξυπηρέτηση και διαφώτιση του 
ομόδοξου προσωπικού της σχολής, συμβάλλοντας στο 
έργο της διοίκησης δια της καταλλήλου θεολογικής 
μεθόδου."	Org
1956	29.0	"3. Εκτελεί την υπηρεσία του σύμφωνα με τις ισχύουσες 
διατάξεις, καθώς και τις γενικές οδηγίες του διοικητού 
της σχολής, που αφορούν σε ειδικότερα θέματα για την 
ηθική και θρησκευτική αγωγή των σπουδαστών."	Org
1957	29.0	"4. Ασχολείται με τις τελετές, εορτές και λοιπές θρησκευτικές εκδηλώσεις και δραστηριότητες της σχολής, σε συνεργασία με τις αρμόδιες διευθύνσεις και 
γραφεία."	Org
1958	29.0	5. Εισηγείται στη διεύθυνση σπουδών επί του προγραμματισμού και εκτέλεσης της εκπαίδευσης για αντικείμενα θρησκευτικού περιεχομένου, στη βάση των αρχών της χρηστότητας και της ηθικής συμπεριφοράς.	Org
1959	29.0	"6. Προγραμματίζει και εκτελεί σύμφωνα με τις οδηγίες της διεύθυνσης θρησκευτικού του ΓΕΕΘΑ και του 
γραφείου θρησκευτικού του ΓΕΣ και τις ομιλίες στο 
προσωπικό της σχολής, σε χρόνο που καθορίζεται από 
το πρόγραμμα εκπαιδεύσεως."	Org
1960	29.0	"7. Εισηγείται αρμοδίως, οργανώνει τη χορωδία της 
σχολής και είναι υπεύθυνος για τη λειτουργία της."	Org
1961	29.0	"8. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από στρατεύσιμο οπλίτη."	Org
1962	30.0	"Τμήμα Υποστήριξης Συντήρησης
Τμηματάρχης
1. Καθήκοντα τμηματάρχη υποστήριξης−συντήρησης, 
ανατίθενται σε κατώτερο αξιωματικό του μηχανικού."	Org
1963	30.0	2. Χειρίζεται και ευθύνεται για όλα τα θέματα συντήρησης κατασκευών μεταφορών – κινήσεων εφοδιασμού της σχολής και ειδικότερα:	Org
1964	30.0	"α. Τον εφοδιασμό σε υλικά, εφόδια πάσης φύσεως 
και πυρομαχικά."	Org
1965	30.0	"β. Τις μεταφορές και μετακινήσεις στρατιωτικού προσωπικού, υλικών εφοδίων και πυρομαχικών, καθώς και 
την παρακολούθηση των ισχυουσών διατάξεων των 
σχετικών με τις παραπάνω κινήσεις."	Org
1966	30.0	γ. Τη συντήρηση γενικά του υλικού.	Org
1967	30.0	"δ. Τις συγκοινωνίες γενικά στην περιοχή ευθύνης της 
ΣΜΥ."	Org
1968	30.0	"ε. Τα θέματα συντήρησης εγκαταστάσεων, κατασκευών στρατωνισμού και γενικά στρατιωτικών έργων, 
επιτάξεων και απαλλοτριώσεων, σε συνεργασία με τη 
διεύθυνση μηχανικού του οικείου σχηματισμού."	Org
1969	30.0	"στ. Την παρακολούθηση των ελεγχομένων υλικών και 
άσκηση επιτελικού ελέγχου επί των μη ελεγχομένων, 
των παρακολουθούμενων υπό των διευθύνσεων των 
σχηματισμών που υποστηρίζουν τη ΣΜΥ."	Org
1970	30.0	"ζ. Τη διάθεση υλικών και μηχανημάτων, καθώς και 
οχημάτων σε στρατιωτικές και μη αρχές, σύμφωνα με 
τις ισχύουσες διατάξεις."	Org
1971	30.0	"η. Τις διοικητικές και τεχνικές επιθεωρήσεις, συνεργαζόμενος με τις αντίστοιχες διευθύνσεις των σωμάτων 
του ΓΕΣ και των σχηματισμών."	Org
1972	30.0	"θ. Όλα τα θέματα, που έχουν σχέση με την ακίνητο περιουσία του ταμείου εθνικής άμυνας (ΤΕΘΑ), τηρώντας 
τα αντίστοιχα μητρώα στρατιωτικών εγκαταστάσεων 
και ακινήτων (κτιρίων, πεδίων βολής – ασκήσε"	Org
1973	30.0	ων)	Irrelevant
1974	30.0	"ι. Τηρεί τους αναγκαίους κανονισμούς, προεδρικά διατάγματα, νόμους, διατάγματα, τεχνικές οδηγίες και 
λοιπά χρήσιμα έγγραφα (πίνακες και διαγράμμα"	Org
1975	30.0	"τα), για 
τα θέματα της αρμοδιότητάς του."	RespA
1976	30.0	"ια. Παρακολουθεί την εφαρμογή των τυποποιήσεων 
της αρμοδιότητάς του."	Org
1977	30.0	ιβ. Χειρίζεται τα θέματα στρατιωτικών οικημάτων αξιωματικών (ΣΟΑ) (στεγάσεις – αποστεγάσε	Org
1978	30.0	"ις), σύμφωνα 
με τις ισχύουσες διατάξεις."	Irrelevant
1979	30.0	"3. Ελέγχει την ορθή λειτουργία όλων των τμημάτων 
παροχής υπηρεσιών του λόχου διοικήσεως της ΣΜΥ 
(κουρείο, ραφείο, οικουρείο, συνεργεία καθαριότητ"	RespA
1980	30.0	"ας), 
σε συνεργασία με το διοικητή του λόχου διοικήσεως 
της σχολής."	RespA
1981	30.0	"4. Διενεργεί κατά καιρούς έρευνες για την αποδοτικότητα και την προοπτική περαιτέρω ανάπτυξης, των 
διαφόρων τμημάτων παροχής υπηρεσιών που λειτουργούν στη ΣΜΥ και υποβάλλει προτάσεις βελτίωσης της 
λειτουργίας τους στη διοίκηση της σχολής."	Org
1982	30.0	"5. Κατά την ενάσκηση των καθηκόντων του, βοηθείται 
από υπαξιωματικό (οιουδήποτε όπλ"	Org
1983	30.0	ου)	Irrelevant
1984	31.0	"Τμήμα Υγειονομικής Υποστήριξης
Τμηματάρχης
1. Καθήκοντα τμηματάρχου υγειονομικής υποστήριξης, 
ανατίθενται σε ανώτερο αξιωματικό (υγειονομικού) με 
ειδικότητα ψυχιάτρου."	Irrelevant
